policy_id,issue_age,sum_assured,coverage_years
108,41,14936.962,10
109,23,45750.74,10
110,53,55093.227,10
111,21,41482.71,10
112,38,48394.56,10
113,36,36043.613,10
114,46,49265.27,10
115,22,70763.04,10
116,35,70367.39,10
117,49,28813.854,10
118,43,103969.625,10
119,53,56696.355,10
120,51,133993.89,10
121,21,157326.14,10
122,27,15765.777,10
123,37,25148.568,10
124,53,95857.375,10
125,31,13198.578,10
126,33,155736.36,10
127,48,37974.59,10
128,32,79205.79,10
129,42,45554.547,10
130,25,16413.62,10
131,31,116333.23,10
132,26,451511.75,10
133,40,33115.996,10
134,39,38634.133,10
135,38,6005.9062,10
136,33,147411.11,10
137,26,103693.07,10
138,38,12494.842,10
139,33,9584.1875,10
140,18,10513.267,10
141,34,83776.984,10
142,35,90741.625,10
143,41,23887.514,10
144,43,74547.09,10
145,38,56776.625,10
146,42,37270.69,10
147,44,108655.3,10
148,37,19069.201,10
149,46,125217.766,10
150,42,27916.16,10
151,32,207940.58,10
152,46,22371.285,10
153,32,37741.69,10
154,18,52399.273,10
155,39,52137.156,10
156,42,74045.945,10
157,18,17876.322,10
158,24,48529.56,10
159,54,55842.117,10
160,26,32780.453,10
161,54,69080.32,10
162,41,17029.158,10
163,18,38507.766,10
164,40,27370.771,10
165,49,38601.004,10
166,25,159118.84,10
167,52,161610.25,10
168,41,138152.23,10
169,44,34543.42,10
170,28,103349.625,10
171,20,54702.68,10
172,34,51857.25,10
173,25,46999.355,10
174,44,204130.05,10
175,52,149111.44,10
176,50,90734.73,10
177,52,43631.625,10
178,26,51607.74,10
179,50,76437.72,10
180,50,32941.586,10
181,22,105919.1,10
182,52,23927.465,10
183,22,68408.56,10
184,45,8006.4746,10
185,24,32185.89,10
186,26,263529.34,10
187,46,114545.97,10
188,25,170783.69,10
189,34,29317.273,10
190,29,54328.082,10
191,33,139437.55,10
192,51,82971.65,10
193,50,75104.14,10
194,23,184285.94,10
195,40,21750.984,10
196,46,43147.848,10
197,41,12289.614,10
198,54,20820.502,10
199,52,118081.055,10
200,25,24002.154,10
201,49,90056.96,10
202,39,188445.92,10
203,38,43365.86,10
204,44,75786.016,10
205,50,90619.8,10
206,52,18818.246,10
207,18,30534.621,10
208,53,22400.74,10
209,52,32545.676,10
210,25,88669.11,10
211,54,31058.285,10
212,47,48613.457,10
213,20,21716.096,10
214,31,133374.47,10
215,41,32328.041,10
216,20,169086.0,10
217,36,52497.54,10
218,18,16222.893,10
219,20,43606.297,10
220,22,21366.014,10
221,21,80118.16,10
222,43,40566.1,10
223,48,56973.78,10
224,31,37208.62,10
225,31,32064.488,10
226,44,22945.582,10
227,43,97612.086,10
228,26,43532.184,10
229,35,38871.848,10
230,32,42668.113,10
231,32,29047.533,10
232,43,38975.836,10
233,53,58940.406,10
234,19,21861.201,10
235,30,24545.816,10
236,48,150603.45,10
237,53,37405.5,10
238,29,32161.637,10
239,49,17063.229,10
240,34,98747.41,10
241,49,21483.44,10
242,21,49392.02,10
243,31,12749.282,10
244,47,96212.69,10
245,40,128189.29,10
246,54,73673.21,10
247,40,14649.979,10
248,35,97810.58,10
249,32,25794.049,10
250,32,19594.434,10
251,46,36791.035,10
252,53,36209.766,10
253,36,33380.906,10
254,30,138512.75,10
255,48,250005.72,10
256,49,16721.809,10
257,24,28816.758,10
258,33,56048.742,10
259,47,36636.676,10
260,39,68823.27,10
261,23,104043.73,10
262,45,91059.74,10
263,19,81435.38,10
264,18,188537.97,10
265,39,14025.333,10
266,50,163385.11,10
267,19,35932.05,10
268,23,93702.34,10
269,42,21939.53,10
270,45,24172.748,10
271,49,84920.61,10
272,45,10687.117,10
273,21,110341.12,10
274,37,137001.77,10
275,50,57641.965,10
276,47,56004.49,10
277,48,25664.639,10
278,28,85762.555,10
279,36,66033.04,10
280,26,23922.482,10
281,19,36555.77,10
282,45,44016.062,10
283,42,36517.12,10
284,55,16805.293,10
285,50,87465.05,10
286,18,41149.617,10
287,43,50618.383,10
288,44,31481.805,10
289,33,73130.11,10
290,40,58614.375,10
291,52,131927.23,10
292,30,73442.44,10
293,19,42515.79,10
294,42,27667.254,10
295,20,99961.51,10
296,24,39883.477,10
297,25,43582.207,10
298,23,43573.35,10
299,25,36260.785,10
300,18,44185.285,10
301,44,233454.94,10
302,26,21623.168,10
303,45,26060.47,10
304,47,151332.97,10
305,54,37046.707,10
306,46,34866.48,10
307,50,114424.375,10
308,21,16052.53,10
309,41,96465.61,10
310,32,51858.36,10
311,52,72520.17,10
312,39,71439.27,10
313,49,30254.258,10
314,18,115928.086,10
315,49,32198.273,10
316,33,69345.57,10
317,41,134585.89,10
318,49,150677.89,10
319,51,40379.49,10
320,40,72423.53,10
321,46,37503.414,10
322,24,370576.53,10
323,18,93328.336,10
324,52,53477.97,10
325,29,64204.465,10
326,18,69248.91,10
327,19,70910.45,10
328,29,41265.402,10
329,20,36472.594,10
330,41,44280.32,10
331,24,20090.953,10
332,54,88822.73,10
333,34,26328.684,10
334,29,21414.387,10
335,30,49429.105,10
336,19,45056.844,10
337,21,61052.28,10
338,19,31736.223,10
339,45,36524.707,10
340,40,86983.516,10
341,54,82847.1,10
342,39,80129.414,10
343,49,51377.332,10
344,40,57234.742,10
345,50,60121.9,10
346,22,29582.697,10
347,18,162594.66,10
348,54,145081.17,10
349,36,94388.52,10
350,37,35563.996,10
351,20,76964.04,10
352,19,109368.07,10
353,41,18792.643,10
354,30,193956.2,10
355,43,12434.973,10
356,51,87856.75,10
357,49,159916.03,10
358,37,45675.965,10
359,23,44329.55,10
360,28,85298.055,10
361,49,219978.22,10
362,21,39931.637,10
363,35,26769.385,10
364,28,35623.4,10
365,51,14440.14,10
366,39,102537.58,10
367,34,33140.516,10
368,55,42323.89,10
369,44,103515.35,10
370,41,36984.348,10
371,22,91770.91,10
372,55,21792.201,10
373,48,107662.2,10
374,51,65729.445,10
375,19,46579.465,10
376,23,55519.695,10
377,39,17860.9,10
378,43,54512.15,10
379,28,44642.54,10
380,19,18255.691,10
381,47,29229.037,10
382,33,45088.48,10
383,50,30759.203,10
384,50,7259.652,10
385,40,118289.266,10
386,26,44627.54,10
387,39,8108.094,10
388,48,275887.56,10
389,43,134981.39,10
390,23,37819.973,10
391,33,25483.342,10
392,50,69032.4,10
393,46,58784.867,10
394,20,77145.63,10
395,37,25542.066,10
396,22,120330.32,10
397,53,34235.164,10
398,51,86197.02,10
399,36,26429.256,10
400,43,415938.8,10
401,31,87220.7,10
402,20,502406.12,10
403,42,96941.195,10
404,36,31907.832,10
405,37,97079.25,10
406,20,102769.16,10
407,49,67402.516,10
408,24,82792.46,10
409,49,91964.69,10
410,53,22580.309,10
411,24,21330.465,10
412,50,26486.877,10
413,51,55371.05,10
414,25,41824.656,10
415,19,22909.842,10
416,29,92969.766,10
417,35,62706.11,10
418,31,57235.035,10
419,18,40675.727,10
420,28,36945.38,10
421,45,25507.13,10
422,34,105532.11,10
423,42,28480.758,10
424,30,59117.996,10
425,23,188978.14,10
426,40,38329.383,10
427,48,107833.11,10
428,46,78806.086,10
429,47,64148.266,10
430,43,70548.59,10
431,48,46344.273,10
432,52,51410.57,10
433,26,32250.445,10
434,24,51686.09,10
435,20,31307.016,10
436,33,111781.61,10
437,27,12838.199,10
438,43,73469.16,10
439,51,65450.383,10
440,20,60875.805,10
441,41,113479.49,10
442,23,39770.45,10
443,19,61336.19,10
444,18,12664.331,10
445,28,35865.273,10
446,39,99147.85,10
447,55,17127.64,10
448,29,56815.984,10
449,22,29078.799,10
450,54,45751.906,10
451,19,30504.707,10
452,49,18435.285,10
453,36,68089.68,10
454,33,48054.973,10
455,26,81624.24,10
456,28,94403.05,10
457,54,133250.39,10
458,52,55634.996,10
459,55,137953.94,10
460,36,22906.104,10
461,28,103460.6,10
462,42,72206.88,10
463,33,60249.67,10
464,20,71365.086,10
465,37,23183.293,10
466,41,19194.533,10
467,42,196347.4,10
468,31,43686.77,10
469,55,43190.832,10
470,50,20700.863,10
471,22,15280.85,10
472,41,46589.16,10
473,46,38044.35,10
474,40,50069.42,10
475,28,53610.566,10
476,28,366351.0,10
477,23,38136.01,10
478,25,176969.1,10
479,50,185980.61,10
480,53,91370.48,10
481,30,41426.547,10
482,55,16824.65,10
483,25,73286.625,10
484,20,112964.39,10
485,37,202385.23,10
486,52,23384.107,10
487,44,41149.094,10
488,31,23498.377,10
489,42,30121.543,10
490,52,85074.984,10
491,45,29037.242,10
492,42,25857.639,10
493,20,94596.43,10
494,46,71708.84,10
495,29,66157.086,10
496,35,29657.443,10
497,35,140673.5,10
498,19,50582.98,10
499,35,335685.62,10
500,50,56880.69,10
501,52,7731.823,10
502,29,7461.247,10
503,33,82366.84,10
504,38,141516.78,10
505,53,26707.93,10
506,27,268487.94,10
507,50,189127.64,10
508,35,59172.707,10
509,21,76983.12,10
510,50,102273.15,10
511,50,226788.73,10
512,31,86291.56,10
513,38,58111.777,10
514,31,85615.3,10
515,25,76854.29,10
516,37,104747.336,10
517,44,14239.28,10
518,34,64373.74,10
519,32,72267.56,10
520,25,47169.395,10
521,19,93630.5,10
522,24,232515.55,10
523,20,55845.934,10
524,33,86955.8,10
525,34,180735.53,10
526,43,56898.82,10
527,47,24563.275,10
528,50,81830.18,10
529,53,8590.785,10
530,29,7951.252,10
531,19,65263.48,10
532,52,7660.266,10
533,39,17459.586,10
534,54,36890.133,10
535,39,28075.293,10
536,48,44423.91,10
537,47,121792.54,10
538,19,60509.94,10
539,55,25548.195,10
540,41,147758.02,10
541,55,15941.683,10
542,42,59711.81,10
543,52,14584.426,10
544,45,61183.49,10
545,47,38749.625,10
546,25,118844.195,10
547,44,88994.5,10
548,36,31259.13,10
549,44,26812.584,10
550,51,38859.23,10
551,38,224186.92,10
552,48,182596.31,10
553,47,23044.07,10
554,50,94841.14,10
555,55,12514.373,10
556,45,34958.06,10
557,39,23806.807,10
558,50,117618.53,10
559,22,17804.46,10
560,29,70492.28,10
561,36,50028.414,10
562,50,43452.31,10
563,21,190430.89,10
564,52,204339.08,10
565,34,44545.395,10
566,41,37912.844,10
567,44,14977.13,10
568,45,49829.93,10
569,19,238570.67,10
570,47,45106.88,10
571,32,89570.9,10
572,46,16346.686,10
573,35,35311.3,10
574,23,72384.72,10
575,52,54418.977,10
576,20,96713.875,10
577,54,30873.107,10
578,41,12329.961,10
579,46,122694.21,10
580,47,23643.863,10
581,20,74986.36,10
582,48,71715.62,10
583,19,13210.612,10
584,52,115737.34,10
585,50,31777.842,10
586,48,52251.402,10
587,27,37542.625,10
588,51,183111.67,10
589,20,146469.2,10
590,38,11730.066,10
591,39,304625.97,10
592,49,29060.436,10
593,49,268801.28,10
594,40,40733.684,10
595,54,38064.79,10
596,50,41024.145,10
597,51,36284.523,10
598,20,376734.3,10
599,53,47036.902,10
600,35,39259.203,10
601,42,53177.3,10
602,28,23061.275,10
603,28,179418.2,10
604,48,15412.184,10
605,48,30594.373,10
606,20,105778.92,10
607,39,51723.113,10
608,24,77586.63,10
609,41,170469.14,10
610,50,111615.984,10
611,49,55812.848,10
612,34,266000.22,10
613,39,30245.701,10
614,40,46144.387,10
615,34,48797.094,10
616,19,46066.48,10
617,46,21256.324,10
618,34,14084.897,10
619,44,69810.49,10
620,42,30121.645,10
621,19,230043.88,10
622,45,47180.9,10
623,43,40887.793,10
624,36,120000.37,10
625,34,68977.27,10
626,53,43449.92,10
627,20,29947.254,10
628,50,932794.06,10
629,26,66783.2,10
630,39,119052.75,10
631,25,22057.807,10
632,23,31488.887,10
633,46,270940.62,10
634,43,152866.92,10
635,52,72104.805,10
636,53,36846.707,10
637,40,41462.707,10
638,42,29111.533,10
639,41,19817.066,10
640,30,104699.92,10
641,30,76944.77,10
642,28,90096.93,10
643,53,38187.363,10
644,24,61346.258,10
645,37,35388.54,10
646,53,27943.275,10
647,53,189743.47,10
648,47,55104.36,10
649,37,75037.38,10
650,18,97575.48,10
651,54,55659.664,10
652,25,60614.2,10
653,37,20962.242,10
654,33,24413.371,10
655,31,23424.236,10
656,29,81157.34,10
657,41,52917.574,10
658,40,24415.002,10
659,24,79527.44,10
660,32,77230.016,10
661,35,28675.703,10
662,45,48899.195,10
663,51,77458.04,10
664,19,25162.096,10
665,33,78649.75,10
666,49,63614.527,10
667,40,22480.836,10
668,28,59612.207,10
669,27,66989.9,10
670,39,30302.254,10
671,19,32271.875,10
672,42,22315.623,10
673,43,34911.76,10
674,44,49519.047,10
675,39,32343.248,10
676,22,15242.883,10
677,18,28822.393,10
678,21,35808.645,10
679,39,96110.055,10
680,32,80466.016,10
681,34,97611.945,10
682,33,27682.705,10
683,23,55995.07,10
684,39,7196.435,10
685,32,70468.05,10
686,52,81511.26,10
687,25,37740.09,10
688,54,63330.49,10
689,49,14880.976,10
690,50,26342.127,10
691,25,92238.94,10
692,48,75265.78,10
693,21,35964.754,10
694,18,95689.91,10
695,44,55849.55,10
696,22,33403.016,10
697,33,43196.574,10
698,21,34732.953,10
699,43,19394.746,10
700,23,136643.0,10
701,32,31740.816,10
702,49,25690.838,10
703,20,14710.247,10
704,24,6069.333,10
705,47,87638.51,10
706,32,94340.44,10
707,52,129859.6,10
708,37,44380.117,10
709,51,38645.45,10
710,33,33309.562,10
711,30,35829.69,10
712,35,122468.67,10
713,47,48950.56,10
714,36,67658.95,10
715,21,35107.598,10
716,34,143839.97,10
717,35,10894.215,10
718,43,18832.87,10
719,39,67747.766,10
720,36,202859.1,10
721,45,41760.164,10
722,50,25485.926,10
723,39,111336.055,10
724,43,64779.02,10
725,54,140357.69,10
726,43,17809.68,10
727,40,131809.52,10
728,20,14487.077,10
729,26,39705.324,10
730,29,69564.14,10
731,19,58022.664,10
732,18,116803.945,10
733,55,11596.403,10
734,47,55970.74,10
735,29,130547.43,10
736,18,52428.92,10
737,30,20048.438,10
738,51,111947.375,10
739,33,29766.238,10
740,49,25856.566,10
741,52,23380.781,10
742,44,42652.03,10
743,26,57885.746,10
744,42,18115.047,10
745,34,21351.164,10
746,20,28686.79,10
747,20,23290.186,10
748,18,51492.16,10
749,55,66753.07,10
750,33,59806.96,10
751,24,59876.766,10
752,22,190340.84,10
753,26,70173.44,10
754,39,93615.35,10
755,43,35885.395,10
756,46,106402.375,10
757,53,34540.793,10
758,20,69489.914,10
759,29,16692.0,10
760,43,57111.773,10
761,33,22913.33,10
762,51,105726.07,10
763,47,100758.26,10
764,54,34422.867,10
765,20,257670.84,10
766,39,39778.254,10
767,21,13768.838,10
768,46,26808.758,10
769,23,21686.94,10
770,31,67741.88,10
771,45,18610.623,10
772,18,32480.887,10
773,22,64306.758,10
774,24,55865.094,10
775,44,49496.797,10
776,47,55302.793,10
777,19,37174.496,10
778,52,13860.199,10
779,22,36399.406,10
780,52,72749.555,10
781,29,44811.957,10
782,53,68389.12,10
783,33,31268.043,10
784,54,110773.98,10
785,43,6468.658,10
786,29,55990.13,10
787,43,147102.16,10
788,44,165700.48,10
789,38,41536.062,10
790,35,17306.193,10
791,53,149187.11,10
792,50,47967.844,10
793,40,44028.95,10
794,47,24477.133,10
795,34,18395.627,10
796,54,78501.17,10
797,41,85449.04,10
798,40,58748.062,10
799,22,27133.969,10
800,31,21328.068,10
801,27,15898.489,10
802,22,31931.305,10
803,39,22361.486,10
804,53,12737.816,10
805,51,84191.92,10
806,43,17405.25,10
807,27,109854.984,10
808,48,68530.6,10
809,27,63275.36,10
810,36,189477.48,10
811,31,17874.604,10
812,49,100588.766,10
813,22,39405.64,10
814,18,391067.1,10
815,20,36869.605,10
816,38,32400.58,10
817,22,70277.49,10
818,50,42304.613,10
819,42,27255.426,10
820,21,23007.07,10
821,33,160546.98,10
822,41,19712.516,10
823,34,59769.355,10
824,33,116392.76,10
825,52,120979.24,10
826,19,30898.297,10
827,27,42396.9,10
828,45,36301.832,10
829,18,14643.668,10
830,49,76863.945,10
831,44,51564.113,10
832,37,158299.86,10
833,29,25879.701,10
834,41,119459.84,10
835,36,126394.8,10
836,29,51918.77,10
837,44,8805.123,10
838,49,33180.715,10
839,52,208662.88,10
840,26,63412.918,10
841,50,87072.65,10
842,55,46557.574,10
843,50,41815.566,10
844,34,11225.044,10
845,39,94425.805,10
846,54,118601.36,10
847,21,23367.197,10
848,29,43334.06,10
849,20,38901.39,10
850,41,69975.53,10
851,18,32347.352,10
852,25,105329.734,10
853,50,52935.938,10
854,34,6504.437,10
855,25,71250.31,10
856,27,110952.68,10
857,23,19893.115,10
858,49,69338.8,10
859,46,216153.92,10
860,52,54689.74,10
861,30,124627.1,10
862,19,35103.438,10
863,29,49286.566,10
864,48,42449.96,10
865,30,36683.484,10
866,38,44426.91,10
867,19,13564.792,10
868,23,38371.65,10
869,52,145804.72,10
870,43,23128.623,10
871,40,21308.72,10
872,34,52509.438,10
873,43,54651.11,10
874,47,67626.16,10
875,25,45651.305,10
876,46,52958.805,10
877,43,37762.45,10
878,27,18018.268,10
879,27,47224.344,10
880,43,89273.13,10
881,51,75495.02,10
882,19,12386.774,10
883,24,61164.277,10
884,21,24478.799,10
885,18,152285.06,10
886,51,64912.41,10
887,47,102416.74,10
888,20,50853.938,10
889,28,47426.4,10
890,26,165454.95,10
891,46,108879.586,10
892,52,54943.75,10
893,26,42618.562,10
894,53,12759.591,10
895,42,64824.074,10
896,38,45201.934,10
897,53,77881.45,10
898,25,99313.16,10
899,27,134069.7,10
900,54,65471.656,10
901,26,21648.467,10
902,41,8958.226,10
903,28,25848.773,10
904,30,145301.92,10
905,52,215038.31,10
906,35,41334.703,10
907,52,15537.486,10
908,31,29763.777,10
909,51,124246.52,10
910,53,31162.406,10
911,35,80103.71,10
912,19,57218.062,10
913,20,88236.93,10
914,49,214097.56,10
915,48,80145.86,10
916,41,56235.938,10
917,40,233859.81,10
918,24,66132.79,10
919,49,26513.791,10
920,40,86660.24,10
921,54,71520.734,10
922,18,39083.527,10
923,29,33047.773,10
924,38,39386.195,10
925,36,32671.773,10
926,28,40423.656,10
927,30,25477.246,10
928,40,68097.93,10
929,42,64134.605,10
930,52,65903.03,10
931,47,47566.44,10
932,34,43375.4,10
933,31,158479.88,10
934,27,52770.258,10
935,42,137419.25,10
936,37,22530.957,10
937,48,80107.164,10
938,36,27778.451,10
939,42,32043.729,10
940,39,35963.277,10
941,30,34204.043,10
942,19,34340.977,10
943,36,132402.05,10
944,42,51849.844,10
945,52,59863.52,10
946,53,34684.574,10
947,29,99243.305,10
948,24,66424.64,10
949,52,39051.453,10
950,25,14077.755,10
951,36,59445.516,10
952,48,79246.766,10
953,29,22849.854,10
954,48,39476.57,10
955,26,76842.0,10
956,45,14228.978,10
957,24,29753.336,10
958,45,67596.09,10
959,31,121029.914,10
960,48,287334.44,10
961,18,239594.23,10
962,44,56094.547,10
963,24,33941.6,10
964,36,104639.47,10
965,30,32367.3,10
966,18,27176.342,10
967,33,39166.043,10
968,36,35427.36,10
969,31,69555.67,10
970,22,30879.783,10
971,52,53523.492,10
972,33,179107.42,10
973,29,55132.29,10
974,42,168244.25,10
975,53,130799.85,10
976,38,80290.81,10
977,53,37663.85,10
978,45,114942.2,10
979,40,40937.36,10
980,54,49919.68,10
981,33,65116.758,10
982,21,49785.76,10
983,54,28101.104,10
984,30,14736.742,10
985,43,107697.82,10
986,35,78909.11,10
987,36,12623.173,10
988,31,27511.197,10
989,48,57701.047,10
990,31,71241.88,10
991,22,14839.019,10
992,26,46554.89,10
993,52,76995.48,10
994,40,37743.51,10
995,18,61355.617,10
996,46,33851.438,10
997,19,103480.18,10
998,39,26379.691,10
999,28,20052.633,10
1000,35,51170.566,10
1001,29,15882.252,10
1002,45,9280.673,10
1003,26,118986.64,10
1004,52,22751.781,10
1005,27,17203.309,10
1006,21,26117.771,10
1007,21,25196.436,10
1008,34,44626.766,10
1009,53,20847.492,10
1010,55,74483.08,10
1011,24,83848.39,10
1012,26,18029.871,10
1013,38,30494.48,10
1014,30,32903.44,10
1015,50,43816.793,10
1016,26,118886.57,10
1017,28,124496.016,10
1018,55,369118.2,10
1019,44,8137.8325,10
1020,37,23869.14,10
1021,30,213413.23,10
1022,19,11839.753,10
1023,25,209565.23,10
1024,22,56255.51,10
1025,37,57935.438,10
1026,46,17960.674,10
1027,54,34851.37,10
1028,55,202334.88,10
1029,36,48128.594,10
1030,38,35037.67,10
1031,25,69172.16,10
1032,34,42873.285,10
1033,34,65900.36,10
1034,18,25336.092,10
1035,52,47007.203,10
1036,39,29939.0,10
1037,49,11808.855,10
1038,37,73522.336,10
1039,34,18634.314,10
1040,41,43826.133,10
1041,24,104886.375,10
1042,48,15086.076,10
1043,42,81107.086,10
1044,24,39337.26,10
1045,21,23076.258,10
1046,47,252235.11,10
1047,53,49977.754,10
1048,23,31739.078,10
1049,36,26785.285,10
1050,29,101185.25,10
1051,48,30642.197,10
1052,50,91582.25,10
1053,36,49900.906,10
1054,32,122116.25,10
1055,21,21714.744,10
1056,18,24278.045,10
1057,44,39933.63,10
1058,43,42673.145,10
1059,27,37651.67,10
1060,43,410417.66,10
1061,24,260504.62,10
1062,36,63514.426,10
1063,29,69797.67,10
1064,20,41383.293,10
1065,46,21588.54,10
1066,30,43222.67,10
1067,45,92658.18,10
1068,30,142099.06,10
1069,37,110895.66,10
1070,45,14942.411,10
1071,25,39671.81,10
1072,40,15439.497,10
1073,52,127370.2,10
1074,22,35949.51,10
1075,18,48150.664,10
1076,20,73410.23,10
1077,42,457114.97,10
1078,30,61969.54,10
1079,41,41322.46,10
1080,45,18526.262,10
1081,31,160602.86,10
1082,34,43237.746,10
1083,29,188243.62,10
1084,54,121087.51,10
1085,42,34524.117,10
1086,46,16415.107,10
1087,50,62182.793,10
1088,21,30572.479,10
1089,55,51598.863,10
1090,23,115730.32,10
1091,39,13318.544,10
1092,41,61788.305,10
1093,46,91808.05,10
1094,41,95441.305,10
1095,49,16796.814,10
1096,27,69929.82,10
1097,40,130954.805,10
1098,30,65799.36,10
1099,45,45579.938,10
1100,38,124426.27,10
1101,51,28690.555,10
1102,33,14704.546,10
1103,46,42586.816,10
1104,41,76712.08,10
1105,38,114797.81,10
1106,28,76433.805,10
1107,29,97580.71,10
1108,54,115384.74,10
1109,54,38111.703,10
1110,53,44419.188,10
1111,21,140016.08,10
1112,52,18989.713,10
1113,27,70480.02,10
1114,36,28181.225,10
1115,24,120570.22,10
1116,37,49287.703,10
1117,54,50304.684,10
1118,33,199362.92,10
1119,35,21140.46,10
1120,31,59422.836,10
1121,50,43290.02,10
1122,18,76550.61,10
1123,31,234038.97,10
1124,46,30809.707,10
1125,32,19184.541,10
1126,53,26168.623,10
1127,48,41503.117,10
1128,46,52636.387,10
1129,18,54797.582,10
1130,39,211484.52,10
1131,20,183441.22,10
1132,45,141794.69,10
1133,33,373745.06,10
1134,40,96669.87,10
1135,52,121353.414,10
1136,28,95186.625,10
1137,32,83491.7,10
1138,29,68548.414,10
1139,27,36398.855,10
1140,49,18441.441,10
1141,32,45037.695,10
1142,33,78621.24,10
1143,34,52975.656,10
1144,25,21322.32,10
1145,55,43786.105,10
1146,29,41997.95,10
1147,55,47567.004,10
1148,41,74051.09,10
1149,38,87972.95,10
1150,45,33514.62,10
1151,19,109609.055,10
1152,25,123634.98,10
1153,20,64603.24,10
1154,45,85099.67,10
1155,53,109882.12,10
1156,41,20778.262,10
1157,43,116257.56,10
1158,25,26575.09,10
1159,55,28727.697,10
1160,45,58501.613,10
1161,38,8996.098,10
1162,45,57542.24,10
1163,54,109666.92,10
1164,53,13400.392,10
1165,30,119489.734,10
1166,44,28588.168,10
1167,25,58998.523,10
1168,23,32109.867,10
1169,34,79071.92,10
1170,26,113520.23,10
1171,48,83900.48,10
1172,50,49841.008,10
1173,22,34169.68,10
1174,37,47303.363,10
1175,38,84504.11,10
1176,30,86854.66,10
1177,33,77686.72,10
1178,45,17920.781,10
1179,28,49087.53,10
1180,47,30122.725,10
1181,46,85111.84,10
1182,51,27113.875,10
1183,30,71784.31,10
1184,42,39895.87,10
1185,52,11120.009,10
1186,19,105297.58,10
1187,35,48998.67,10
1188,23,138768.19,10
1189,24,13194.179,10
1190,35,39599.082,10
1191,26,42051.684,10
1192,22,62065.36,10
1193,25,17320.195,10
1194,26,77265.945,10
1195,42,230754.17,10
1196,33,73087.17,10
1197,19,53856.383,10
1198,35,16610.867,10
1199,27,26913.45,10
1200,25,47815.367,10
1201,47,32727.047,10
1202,37,113639.16,10
1203,22,76629.766,10
1204,26,430921.47,10
1205,50,22813.13,10
1206,49,51342.285,10
1207,34,16530.863,10
1208,18,8449.188,10
1209,18,89139.25,10
1210,35,74389.54,10
1211,49,25237.996,10
1212,19,53863.156,10
1213,28,30223.172,10
1214,38,33671.676,10
1215,42,38698.285,10
1216,43,24404.582,10
1217,54,28182.553,10
1218,20,28825.91,10
1219,42,70128.27,10
1220,44,5433.844,10
1221,39,41675.758,10
1222,30,20944.53,10
1223,22,21558.73,10
1224,44,32835.17,10
1225,39,49429.688,10
1226,30,42118.77,10
1227,46,21344.084,10
1228,50,89066.23,10
1229,20,24286.965,10
1230,51,27778.379,10
1231,52,62778.74,10
1232,22,64606.684,10
1233,18,30650.938,10
1234,38,4773.565,10
1235,18,24621.752,10
1236,28,56913.555,10
1237,23,86739.51,10
1238,48,46926.65,10
1239,45,34084.207,10
1240,38,313121.66,10
1241,34,37115.48,10
1242,44,81598.36,10
1243,22,17184.045,10
1244,28,20902.918,10
1245,48,83921.64,10
